Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),"PRNT do calcário
",Classe
0.54,0.82,0.21,0.79,0.45,0.26,0.65,0.45,0.45,0.27,0.79,0.62,0.13,114
0.87,0.42,0.28,0.82,0.3,0.23,0.37,0.89,0.75,0.12,0.72,0.05,0.48,114
0.4,0.44,0.89,0.42,0.11,0.17,0.51,0.7,0.25,0.49,0.96,0.92,0.02,140
0.12,0.7,0.66,0.42,0.35,0.23,0.26,0.25,0.09,0.74,0.09,0.27,0.08,187
0.34,0.93,0.36,0.9,0.25,0.38,0.45,0.19,0.76,0.45,0.49,0.57,0.44,105
0.97,0.26,0.99,0.07,0.59,0.66,0.32,0.82,0.92,0.52,0.48,0.59,0.53,95
0.42,0.21,0.59,0.12,0.91,0.07,0.51,0.03,0.03,0.23,0.89,0.64,0.23,182
0.19,0.42,0.68,0.3,0.08,0.32,0.95,0.75,0.19,0.71,0.65,0.3,0.52,157
0.35,0.17,0.75,0.04,0.65,0.79,0.16,0.51,0.85,0.46,0.93,0.48,0.69,153
0.22,0.83,0.19,0.62,0.46,0.76,0.38,0.09,0.02,0.23,0.62,0.83,0.39,91
0.7,0.28,0.82,0.4,0.65,0.7,0.18,0.76,0.03,0.54,0.33,0.39,0.19,81
0.94,0.41,0.93,0.34,0.56,0.69,0.63,0.15,0.57,0.37,0.96,0.78,0.89,12
0.81,0.03,0.58,0.38,0.93,0.63,0.77,0.22,0.33,0.17,0.44,0.4,0.44,96
0.51,0.36,0.17,0.53,0.35,0.79,0.26,0.61,0.79,0.72,0.42,0.97,0.7,103
0.03,0.86,0.89,0.56,0.77,0.49,0.62,0.31,0.62,0.71,0.89,0.78,0.94,42
0.41,0.38,0.83,0.93,0.1,0.06,0.48,0.75,0.54,0.4,0.1,0.24,0.97,59
0.48,0.45,0.61,0.81,0.86,0.19,0.98,0.63,0.14,0.54,0.83,0.28,0.3,127
0.68,0.69,0.5,0.69,0.49,0.72,0.99,0.16,0.09,0.19,0.72,0.8,0.91,41
0.44,0.33,0.83,0.15,0.5,0.93,0.49,0.8,0.05,0.23,0.42,0.72,0.75,153
0.38,0.48,0.59,0.91,0.67,0.46,0.92,0.11,0.36,0.47,0.96,0.68,0.33,126
0.66,0.95,0.91,0.99,0.8,0.5,0.01,0.64,0.22,0.54,0.1,0.11,0.34,185
0.88,0.98,0.74,0.21,0.72,0.13,0.86,0.34,0.57,0.77,0.61,0.54,0.84,163
0.33,0.65,0.43,0.59,0.22,0.39,0.12,0.49,0.66,0.37,0.53,0.46,0.57,78
0.16,0.46,0.13,0.34,0.48,0.27,0.98,0.64,0.08,0.77,0.9,0.75,0.02,175
0.65,0.56,0.64,0.84,0.58,0.83,0.12,0.82,0.62,0.94,0.64,0.93,0.33,88
0.92,0.3,0.73,0.82,0.09,0.43,0.48,0.46,0.81,0.21,0.77,0.76,0.9,14
0.62,0.78,0.89,0.96,0.35,0.25,0.21,0.32,0.52,0.1,0.83,0.19,0.61,107
0.37,0.91,0.27,0.01,0.3,0.86,0.75,0.72,0.54,0.33,0.3,0.24,0.97,132
0.19,0.25,0.37,0.35,0.93,0.11,0.3,0.56,0.04,1.0,0.58,0.1,0.52,170
0.63,0.14,0.05,0.6,0.5,0.01,0.22,0.32,0.59,0.81,0.5,0.71,0.84,31
0.76,0.15,0.55,0.74,0.11,0.72,0.95,0.41,0.56,0.1,0.18,0.47,0.42,110
0.59,0.63,0.11,0.24,0.18,0.42,0.43,0.14,0.84,0.47,0.73,0.57,0.83,117
0.64,0.19,0.78,0.93,0.64,0.99,0.63,0.63,0.89,0.57,0.25,0.67,0.79,26
0.91,0.84,0.77,0.37,0.65,0.74,0.36,0.85,0.01,0.62,0.41,0.47,0.11,185
0.47,0.5,0.8,0.95,0.92,0.03,0.84,0.49,0.96,0.84,0.13,0.71,0.92,9
0.77,0.91,0.12,0.21,0.85,0.28,0.78,0.73,0.49,0.46,0.05,0.1,0.37,183
0.73,0.69,0.25,0.09,1.0,0.54,0.02,0.3,0.53,0.89,0.51,0.09,1.0,184
0.46,0.27,0.71,0.47,0.61,0.58,0.56,0.98,0.15,0.02,0.04,0.24,0.72,95
0.11,0.71,0.88,0.43,0.07,0.8,0.13,0.82,0.01,0.39,0.25,0.18,0.64,73
0.66,0.04,0.23,0.1,0.09,0.24,0.76,0.36,0.34,0.47,0.95,0.46,0.47,175
0.17,0.09,0.93,0.29,0.06,0.23,0.01,0.71,0.55,0.62,0.41,0.08,0.81,59
0.72,0.38,0.63,0.39,0.56,0.87,0.4,0.83,0.34,0.83,0.83,0.45,0.91,66
0.31,0.1,0.11,0.29,0.71,0.32,0.38,0.1,0.61,0.55,0.06,0.81,0.2,62
0.6,0.88,0.19,0.76,0.62,0.41,0.7,0.07,0.8,0.18,0.64,0.34,0.1,128
0.13,0.93,0.61,0.47,0.69,0.84,0.15,0.4,0.31,0.84,0.51,0.66,0.35,178
0.16,0.7,0.34,0.27,0.55,0.38,0.39,0.29,0.71,0.19,0.43,0.1,0.23,107
0.22,0.72,0.72,0.88,0.92,0.98,0.25,0.15,0.68,0.87,0.5,0.99,0.47,178
0.85,0.75,0.94,0.61,0.89,0.03,0.38,0.78,0.96,0.93,0.86,0.38,0.61,57
0.23,0.38,0.4,0.59,0.28,0.88,0.54,0.28,0.57,0.23,0.74,0.96,0.15,166
0.04,0.73,0.29,0.01,0.76,0.45,0.14,0.94,0.02,0.89,0.29,0.68,0.34,73
0.7,0.5,0.39,0.9,0.21,0.57,0.26,0.4,0.05,0.33,0.57,0.53,0.75,54
0.74,0.43,0.81,0.18,0.85,0.18,0.06,0.23,0.79,0.2,0.92,0.14,0.32,83
0.29,0.03,0.65,0.94,0.73,0.23,0.9,0.25,0.66,0.41,0.12,0.86,0.59,10
0.59,0.79,0.71,0.89,0.36,0.48,0.78,0.08,0.15,0.27,0.65,0.94,0.59,42
0.71,0.51,0.95,0.64,0.74,0.59,0.61,0.36,0.69,0.02,0.77,0.72,0.34,13
0.4,0.17,0.97,0.49,0.03,0.94,0.69,0.35,0.05,0.01,0.61,1.0,0.35,140
0.61,0.03,0.56,0.66,0.19,0.52,0.29,0.09,0.34,0.37,0.47,0.82,1.0,54
0.85,0.96,0.73,0.97,0.99,0.6,0.78,0.3,0.02,0.86,0.22,0.41,0.4,171
0.1,0.02,0.25,0.25,0.52,0.22,0.78,0.26,0.69,0.02,0.32,0.56,0.73,48
0.68,0.86,0.59,0.05,0.11,0.34,0.3,0.41,0.95,0.59,0.37,0.13,0.88,108
0.31,0.69,0.92,0.71,0.56,0.36,0.37,0.07,0.25,0.68,0.62,0.78,0.77,39
0.3,0.89,0.44,0.46,0.23,0.67,0.06,0.55,0.32,0.62,0.94,0.15,0.25,190
0.76,0.06,0.18,0.27,0.69,0.25,0.51,0.63,0.52,0.48,0.63,0.39,0.17,16
0.7,0.82,0.3,0.39,0.85,0.49,0.27,0.41,0.27,0.62,0.39,0.3,0.53,184
0.46,0.87,0.16,0.7,0.12,0.47,0.63,0.36,0.39,0.89,0.77,0.24,0.18,190
0.07,0.5,0.22,0.48,0.46,0.35,0.24,0.46,0.9,0.85,0.64,0.43,0.31,34
0.22,0.96,0.49,0.92,0.53,0.53,0.58,0.06,0.2,0.05,0.93,0.12,0.86,56
0.92,0.13,0.53,0.69,0.35,0.34,0.98,0.87,0.32,0.13,0.76,0.68,0.28,1
0.11,0.98,0.94,0.68,0.74,0.39,0.33,0.05,0.04,0.27,0.61,0.21,0.33,92
0.68,0.05,0.58,0.03,0.81,0.79,0.35,0.92,0.59,0.42,0.85,0.2,0.78,3
0.25,0.51,0.9,0.88,0.78,0.3,0.43,0.87,0.65,0.21,0.45,0.79,0.45,71
0.35,0.93,0.53,0.19,0.64,0.37,0.14,0.29,0.1,0.69,0.36,0.03,0.44,185
0.22,0.17,0.49,0.17,0.1,0.69,0.28,0.42,0.7,0.42,0.69,0.55,0.62,167
0.92,0.09,0.78,0.18,0.03,0.94,0.48,0.54,0.57,0.32,0.24,0.48,0.27,95
0.74,0.98,0.48,0.61,0.89,0.79,0.06,0.73,0.93,0.46,0.84,0.9,0.51,102
0.23,0.6,0.46,0.43,0.57,0.14,0.79,0.79,0.84,0.3,0.71,0.52,0.4,99
0.48,0.38,0.62,0.78,0.61,0.29,0.77,0.58,0.79,0.89,0.88,0.9,0.99,18
0.27,0.6,0.5,0.91,0.29,0.74,0.63,0.01,0.95,0.09,0.83,0.83,0.5,105
0.17,0.04,0.14,0.98,0.75,0.41,0.22,0.35,0.41,0.34,0.26,0.37,0.19,61
0.13,0.04,0.5,0.55,0.4,0.48,0.85,0.85,0.74,0.39,0.14,0.03,0.17,85
0.34,0.05,0.2,0.68,0.9,0.58,0.02,0.67,0.69,0.71,0.3,0.66,0.05,33
0.64,0.93,0.22,0.73,0.33,0.03,0.84,0.81,0.54,0.94,0.55,0.25,0.88,156
0.99,0.32,0.39,0.15,0.21,0.22,0.69,0.29,0.97,0.39,0.62,0.79,0.71,109
0.84,0.37,0.98,0.95,0.34,0.08,0.93,0.19,0.41,0.11,0.5,0.7,0.08,126
0.64,0.67,0.4,0.53,0.59,0.2,0.7,0.62,0.76,0.73,0.89,0.9,0.03,19
0.49,0.76,0.79,0.81,0.09,0.93,0.55,0.56,0.33,0.9,0.51,0.48,0.46,38
0.82,0.25,0.14,0.34,0.59,0.01,0.67,0.41,0.26,0.46,0.35,0.92,0.4,16
0.25,0.09,0.55,0.53,0.89,0.44,0.59,0.54,0.58,0.36,0.5,0.16,0.19,34
0.04,0.79,0.54,0.88,0.35,0.99,0.97,0.37,0.72,0.43,0.09,0.67,0.23,120
0.07,0.09,0.33,0.97,0.97,0.3,0.49,0.07,0.25,0.88,0.46,0.38,0.41,112
0.23,0.64,0.84,0.2,0.28,0.82,0.57,0.96,0.03,0.16,0.63,0.95,0.17,147
0.41,0.66,0.2,0.1,0.18,0.57,0.76,0.87,0.21,0.35,0.27,0.98,0.64,147
0.89,0.8,0.65,0.72,0.94,0.13,0.9,0.14,0.12,0.64,0.57,0.39,0.63,141
0.61,0.81,0.07,0.9,0.47,0.66,0.46,0.31,0.95,0.41,0.19,0.26,0.97,50
0.39,0.71,0.83,0.25,0.2,0.72,0.9,0.08,0.9,0.9,0.75,0.31,0.99,36
0.86,0.82,0.23,0.71,0.11,0.2,0.85,0.03,0.39,0.86,0.65,0.78,0.5,90
0.76,0.45,0.76,0.35,0.2,0.86,0.5,0.91,0.34,0.55,0.11,0.15,0.35,171
0.49,0.17,0.61,0.48,0.2,0.97,0.4,0.53,0.58,0.5,0.46,0.6,0.91,66
0.37,0.65,0.6,0.57,0.55,0.91,0.17,0.32,0.66,0.36,0.45,0.96,0.27,165
0.43,0.78,0.25,0.81,0.61,0.01,0.13,0.39,0.14,0.23,0.24,0.16,0.02,91
0.16,0.0,0.97,1.0,0.2,0.52,0.84,0.21,0.9,0.47,0.58,0.94,0.45,126
0.55,0.07,0.79,0.98,0.0,0.27,0.35,0.37,0.33,0.66,0.64,0.53,0.38,29
0.47,0.88,0.55,0.7,0.36,0.2,0.89,0.35,0.41,0.98,0.08,0.14,0.67,156
0.17,0.02,0.07,0.46,0.76,0.81,0.01,0.78,0.88,0.82,0.81,0.76,0.99,4
0.64,0.37,0.71,0.96,0.71,0.64,0.36,0.78,0.93,0.9,0.64,0.62,0.09,19
0.06,1.0,0.7,0.36,0.72,0.09,0.96,0.68,0.23,0.16,0.98,0.86,0.04,100
0.85,0.96,0.21,0.94,0.76,0.42,0.16,0.97,0.04,0.37,0.9,0.41,0.09,101
0.95,0.56,0.75,0.97,0.04,0.06,0.36,0.35,0.51,0.46,0.46,0.27,0.58,128
0.04,0.87,0.93,0.33,0.57,0.32,0.19,0.24,0.17,0.17,0.76,0.91,0.58,92
0.75,0.64,0.25,0.34,0.62,0.26,0.1,0.5,0.2,0.46,0.43,0.82,0.02,101
0.69,0.88,0.57,0.86,0.15,0.09,0.13,0.17,0.94,0.99,0.67,0.06,0.65,44
0.9,0.22,0.61,0.29,0.58,0.59,0.15,0.82,0.05,0.31,0.51,0.13,0.63,81
0.99,0.54,0.66,0.72,0.57,0.59,0.96,0.43,0.93,0.2,0.33,0.9,0.54,13
0.66,0.64,0.99,0.84,0.36,0.8,0.72,0.07,0.64,0.94,0.98,0.76,0.04,177
0.1,0.05,0.29,0.61,0.17,0.25,0.59,0.55,0.68,0.94,0.86,0.5,0.64,18
0.37,0.62,0.29,0.37,0.0,0.61,0.2,0.33,0.76,0.63,0.28,0.36,0.46,64
0.49,0.05,0.35,0.46,0.16,0.11,0.37,0.91,0.47,0.44,0.52,0.96,0.47,15
0.96,0.28,0.72,0.05,0.16,0.23,0.38,0.2,0.25,0.05,0.31,0.59,0.01,82
0.5,0.86,0.05,0.13,0.35,0.65,0.31,0.35,0.8,0.66,0.69,0.01,0.45,190
0.01,0.45,0.68,0.3,0.72,0.09,0.01,0.53,0.5,0.04,0.03,0.55,0.2,60
0.62,0.84,0.78,0.94,1.0,0.52,0.32,0.43,0.89,0.34,0.61,0.4,0.99,40
0.64,0.9,0.86,0.42,0.29,0.44,0.09,0.62,0.69,0.44,0.37,0.69,0.15,136
0.34,0.55,0.87,0.09,0.5,0.04,0.03,0.01,0.13,0.24,0.88,0.05,0.67,93
0.87,0.43,0.3,0.08,0.31,0.64,0.36,0.12,0.46,0.13,0.06,0.15,0.8,68
0.47,0.19,0.96,0.18,0.75,0.89,0.06,0.96,0.45,0.3,0.15,0.07,0.4,186
0.61,0.5,0.56,0.48,0.64,0.1,0.96,0.21,0.14,0.12,0.87,0.27,0.49,127
0.55,0.52,0.46,0.05,0.24,0.92,0.84,0.41,0.86,0.15,0.29,0.96,0.71,132
0.29,0.99,0.89,0.44,0.16,0.42,0.05,0.72,0.15,0.46,0.44,0.8,0.42,73
0.01,0.5,0.85,0.39,0.34,0.04,0.97,0.37,0.02,0.65,0.97,0.01,0.51,127
0.26,0.06,0.22,0.48,0.08,0.42,0.4,0.31,0.11,0.48,0.71,0.03,0.33,174
0.03,0.37,0.05,0.14,0.74,0.57,0.33,0.43,0.99,0.33,0.68,0.44,0.13,195
0.85,0.35,0.7,0.77,0.57,0.42,0.11,0.71,0.42,0.8,0.78,0.11,0.08,98
0.06,0.41,0.66,0.29,0.93,0.61,0.6,0.85,0.71,0.67,0.78,0.47,0.78,4
0.82,0.1,0.44,0.48,0.34,0.29,0.49,0.18,0.9,0.55,0.23,0.11,0.5,109
0.23,0.28,0.11,0.97,0.02,0.1,0.45,0.28,0.81,0.24,0.9,0.12,0.94,35
0.45,0.01,0.86,0.78,0.27,0.19,0.94,0.02,0.55,0.37,0.23,0.9,0.93,10
0.58,0.02,0.85,0.54,0.0,0.49,0.44,0.81,0.14,0.67,0.51,0.52,0.56,15
0.6,0.26,0.91,0.53,0.92,0.17,0.09,0.23,0.11,0.98,0.57,0.97,0.89,11
0.89,0.69,0.25,0.64,0.64,0.28,0.17,0.62,0.6,0.38,0.88,0.77,0.37,101
0.77,0.8,0.05,0.18,0.43,0.56,0.02,0.43,0.89,0.41,0.44,0.41,0.07,116
0.46,0.0,0.37,0.99,0.21,0.37,0.91,0.54,0.91,0.76,0.51,0.02,0.82,21
0.38,0.11,0.04,0.89,0.62,0.09,0.54,0.87,0.83,0.65,0.26,0.79,0.6,32
0.79,0.57,0.05,0.43,0.32,0.86,0.67,0.08,0.61,0.26,0.01,0.87,0.34,104
0.43,0.92,0.98,0.23,0.35,0.19,0.66,0.31,0.65,0.25,0.78,0.22,0.65,107
0.65,0.02,0.81,0.11,0.47,0.54,0.6,0.13,0.98,0.7,0.04,0.69,0.77,123
0.63,0.65,0.45,0.92,0.51,0.72,0.04,0.28,0.75,0.36,0.66,0.96,0.66,103
0.95,0.52,0.26,0.16,0.41,0.03,0.48,0.31,0.23,0.15,0.29,0.41,0.2,82
0.58,0.07,0.68,0.78,0.66,0.49,0.76,0.15,0.46,0.04,0.6,0.58,0.58,126
0.8,0.08,0.02,0.12,0.88,0.58,0.63,0.83,0.59,0.34,0.01,0.28,0.83,183
0.23,0.03,0.11,0.45,0.42,0.09,0.49,0.12,0.48,0.79,0.5,0.25,0.42,182
0.44,0.54,0.64,0.64,0.71,0.41,0.42,0.6,0.85,0.61,0.87,0.28,0.2,20
0.12,0.41,0.91,0.99,0.92,0.53,0.15,0.19,0.28,0.16,0.2,0.56,0.4,106
0.7,0.9,0.38,0.52,0.57,0.07,0.8,0.54,0.81,0.09,0.76,0.04,0.22,113
0.84,0.96,0.14,0.08,0.58,0.32,0.23,0.17,0.57,0.06,0.48,0.18,0.72,69
0.51,0.19,0.96,0.47,0.44,0.05,0.66,0.5,0.78,0.5,0.86,0.89,0.35,139
0.91,0.86,0.77,0.18,0.97,0.82,0.58,0.05,0.92,0.54,0.62,0.91,0.89,12
0.72,0.8,0.84,0.6,0.26,0.22,0.81,0.21,0.49,0.23,0.93,0.66,0.55,42
0.98,0.95,0.89,0.75,0.06,0.63,0.32,0.25,0.79,0.6,0.18,0.03,0.12,108
0.1,0.58,0.26,0.5,0.25,0.75,0.96,0.4,0.58,0.38,0.31,0.01,0.06,159
0.3,0.71,0.26,0.55,0.8,0.48,0.17,0.42,0.95,0.62,0.54,0.22,0.15,192
0.38,0.38,0.27,0.1,0.39,0.11,0.18,0.89,0.22,0.74,0.72,0.57,1.0,3
0.78,0.55,0.63,0.31,0.89,1.0,0.7,0.05,0.44,0.6,0.05,0.98,0.34,164
0.34,0.56,0.42,0.51,0.1,0.16,0.65,0.91,0.17,0.05,0.63,0.8,0.82,100
0.43,0.24,0.72,0.01,0.3,0.16,0.14,0.68,0.68,0.61,0.43,0.44,0.61,59
0.95,0.93,0.85,0.62,0.8,0.14,0.39,0.73,0.9,0.16,0.57,0.5,0.15,71
0.79,0.7,0.73,0.28,0.97,0.58,0.95,0.11,0.94,0.86,0.13,0.8,0.23,163
0.25,0.89,0.46,0.58,0.1,0.65,0.86,0.93,0.35,0.18,0.02,0.84,0.75,118
0.59,0.02,0.84,0.75,0.34,0.61,0.49,0.67,0.13,0.91,0.97,0.01,0.68,98
0.28,0.86,0.93,0.23,0.37,0.6,0.44,0.66,0.08,0.22,0.25,0.32,0.18,86
0.89,0.37,0.61,0.29,0.65,0.88,0.24,0.09,0.51,0.61,0.24,0.0,0.32,185
0.02,0.17,0.08,0.6,0.37,0.72,0.03,0.04,0.76,0.6,0.06,0.74,0.65,63
0.37,0.01,0.73,0.51,0.62,0.49,0.37,0.27,0.57,0.15,0.93,0.17,0.27,98
