Nitrogênio Foliar (g/kg),Fósforo(P) (mg/dm³),Potássio(K) (cmol c/dm³),Boro(B) (mg/dm³),Cálcio(Ca) (cmol c/dm³),Magnésio(Mg) (cmol c/dm³),Alumínio(Al) (cmol c/dm³),Sódio(Na) (cmol c/dm³),H+Al (cmol c/dm³),Zinco(Zn) (mg/dm³),Cobre(Cu) (mg/dm³),Manganês(Mn) (mg/dm³),PRNT do calcário
0.19,0.26,0.87,0.49,0.14,0.52,0.57,0.25,0.95,0.47,0.13,0.23,0.39
0.34,0.43,0.74,0.22,0.36,0.32,0.78,0.27,0.34,0.91,0.7,0.58,0.85
0.88,0.0,0.27,0.35,0.77,0.4,0.9,0.06,0.24,0.27,0.76,0.0,0.33
0.2,0.73,0.84,0.98,0.34,0.73,0.84,0.08,0.44,0.17,0.07,0.92,0.75
0.91,0.95,0.9,0.93,0.94,0.59,0.84,0.12,0.57,0.76,0.3,0.22,0.56
0.54,0.77,0.7,0.01,0.74,0.94,0.78,0.18,0.41,0.96,1.0,0.71,0.82
0.7,0.6,0.0,0.13,0.86,0.04,0.57,0.51,0.49,0.28,0.92,0.59,0.7
0.89,0.45,0.06,0.06,0.55,0.88,0.94,0.89,0.55,0.64,0.52,0.55,0.13
0.32,0.74,0.14,0.24,0.66,0.13,0.58,0.34,0.33,0.96,0.09,0.51,0.34
0.35,0.88,0.29,0.73,0.1,0.23,0.45,0.06,0.26,0.22,0.55,0.61,0.65
0.03,0.11,0.66,0.33,0.06,0.22,0.9,0.64,0.93,0.83,0.41,0.79,0.45
0.43,0.63,0.33,0.82,0.18,0.99,0.74,0.36,0.57,0.01,0.12,0.03,0.53
0.5,0.21,0.85,0.87,0.38,0.28,0.9,0.2,0.64,0.89,0.47,0.59,0.85
0.06,0.13,0.89,0.75,0.86,0.01,0.22,0.31,0.5,0.76,0.03,0.54,0.46
0.19,0.86,0.72,0.3,0.88,0.58,0.34,0.69,0.99,0.36,0.49,0.93,0.91
0.96,0.7,0.76,0.44,0.8,0.38,0.14,0.02,0.84,0.41,0.16,0.7,0.62
0.86,0.4,0.35,0.77,0.25,0.59,0.28,0.0,0.84,0.55,0.33,0.48,0.22
0.14,0.87,0.76,0.86,0.59,0.91,0.71,0.14,0.33,0.56,0.39,0.8,0.48
0.07,0.53,0.89,0.78,0.72,0.69,0.78,0.81,0.18,0.53,0.32,0.16,0.87
0.64,0.5,0.42,0.2,0.86,0.49,0.11,0.43,0.24,0.19,0.4,0.1,0.02
0.58,0.1,0.9,0.66,0.92,0.19,0.37,0.97,0.89,0.29,0.97,0.83,0.17
0.37,0.35,0.72,0.54,0.82,0.28,0.35,0.33,0.81,0.02,0.59,0.99,0.31
0.49,0.02,0.7,1.0,0.2,0.39,0.52,0.76,0.15,0.97,0.8,0.9,0.49
0.85,0.64,0.17,0.23,0.21,0.05,0.27,0.79,0.53,0.59,0.92,0.77,0.02
0.63,0.51,0.2,0.15,0.56,0.76,0.45,0.48,0.77,0.5,0.43,0.45,0.67
0.35,0.48,0.81,0.54,0.14,0.36,0.22,0.06,0.53,0.07,0.09,0.57,0.14
0.37,0.96,0.67,0.46,0.11,0.95,0.63,0.96,0.85,0.65,0.14,0.25,0.13
0.69,0.34,0.08,0.25,0.78,0.47,0.2,0.35,0.12,0.97,0.88,0.55,0.77
0.04,0.08,0.61,0.71,0.37,0.47,0.51,0.57,0.43,0.79,0.82,0.68,0.11
0.23,0.31,0.47,0.88,0.22,0.58,0.79,0.79,0.32,0.59,0.51,0.91,0.65
0.56,0.8,0.04,0.1,0.24,0.45,0.06,0.72,0.25,0.75,0.25,0.39,0.74
0.84,0.34,0.35,0.18,0.74,0.53,0.85,0.4,0.45,0.96,0.46,0.98,0.28
0.51,0.11,0.28,0.63,0.18,0.17,0.32,0.63,0.68,0.52,0.43,0.82,0.17
0.96,0.55,0.27,0.78,0.53,0.75,0.81,0.21,0.41,0.04,0.53,0.92,0.47
0.61,0.95,0.49,0.82,0.69,0.15,0.86,0.65,0.83,0.84,0.4,0.09,0.42
0.44,0.73,0.1,0.66,0.39,0.79,0.98,0.73,0.36,0.97,0.35,0.99,0.56
0.81,0.39,0.59,0.19,0.17,0.65,0.41,0.67,0.97,0.32,0.04,0.85,0.55
0.86,0.47,0.99,0.05,0.26,0.18,0.81,0.37,0.08,0.61,0.53,0.49,0.07
0.23,0.86,0.84,0.42,0.83,0.11,0.41,0.88,1.0,0.06,0.4,0.16,0.93
0.83,0.11,0.17,0.05,0.32,0.06,0.62,0.44,0.75,0.74,0.76,0.57,0.57
0.13,0.9,0.33,0.52,0.79,0.93,0.93,0.07,0.5,0.27,0.35,0.74,0.45
0.37,0.32,0.83,0.13,0.22,0.31,0.42,0.99,0.42,0.17,0.31,0.61,0.81
0.09,0.77,0.61,0.33,0.62,0.79,0.63,0.44,0.4,0.36,0.09,0.93,0.18
0.5,0.99,0.73,0.41,0.31,0.63,0.49,0.07,0.58,0.27,1.0,0.76,0.3
0.57,0.44,0.9,0.04,0.4,0.75,0.65,0.67,0.62,0.05,0.01,0.38,0.18
0.64,0.18,0.66,0.62,0.11,0.42,0.3,0.13,0.65,0.17,0.91,0.87,0.79
0.75,0.36,0.53,0.31,0.48,0.71,0.56,0.66,0.21,0.93,0.57,0.27,0.87
0.86,0.01,0.89,0.19,0.22,0.72,0.68,0.82,0.66,0.74,0.85,0.12,0.95
0.65,0.04,0.8,0.22,0.46,0.39,0.02,0.67,0.27,0.76,0.45,0.28,0.02
